name,title,content,release,time,number,index
综合管理,标题,内容概述,发布机构,发文时间,文号,索引号
综合管理,自治区卫生健康委关于在全区卫生健康系统开展向梁小霞同志学习活动的通知, 桂卫发〔2020〕8号自治区卫生健康委关于在全区卫生健康系统开展向梁小霞同志学习活动的通知各市卫生健...,广西壮族自治区卫生健康委员会,2020年-05月-28日,桂卫发〔2020〕8号,
综合管理, 自治区卫生健康委办公室关于组织开展第33个世界无烟日活动的通知,各市、县（市、区）卫生健康委（局），自治区疾控中心，区直各医疗卫生单位：根据《国家卫生健康委办公...,广西壮族自治区卫生健康委员会,2020年-05月-20日,,
综合管理,自治区卫生健康委关于推荐申报第五届广西壮族自治区主席质量奖单位名单的公示,根据 广西壮族自治区实施质量强桂战略工作领导小组办公室《关于组织开展第五届广西壮族自治区主席质量...,广西壮族自治区卫生健康委员会,2020年-05月-06日,,
综合管理,关于开展2020年《职业病防治法》宣传周活动的通知,各市卫生健康委、民政局、人力资源社会保障局、医保局、总工会，区直有关医疗卫生单位，区直有关企业：...,广西壮族自治区卫生健康委员会,2020年-04月-22日,,
综合管理,自治区卫生健康委办公室关于印发《2020年全区卫生健康〈信访条例〉宣传方案》的通知,各市卫生健康委，委机关各处（室、局），区直各卫生健康单位：现将《2020年全区卫生健康〈信访条例〉宣...,广西壮族自治区卫生健康委员会,2020年-04月-17日,,
综合管理,自治区卫生健康委办公室关于切实做好汛期安全防范工作的通知,各市卫生健康委，区直各卫生健康单位，各民营医疗机构：根据广西入汛标准监测，我区已进入汛期（4～9月...,广西壮族自治区卫生健康委员会,2020年-04月-07日,,
综合管理,自治区卫生健康委办公室关于自行下载学习贯彻应急〔2020〕25号文件精神的通知,各市卫生健康委，自治区卫生监督所、疾病预防控制中心、职业病防治研究院，各职业卫生技术服务机构：机...,广西壮族自治区卫生健康委员会,2020年-04月-03日,,
综合管理,自治区卫生健康委关于2019年广西工作场所职业病危害因素监测工作完成情况的通报,桂卫职健发〔2020〕3号自治区卫生健康委关于2019年广西工作场所职业病危害因素监测工作完成情况的通报各...,广西壮族自治区卫生健康委员会,2020年-04月-02日,桂卫职健发〔2020〕3号,
综合管理,自治区卫生健康委关于印发2020年广西卫生健康工作要点的通知, 桂卫发〔2020〕1号自治区卫生健康委关于印发2020年广西卫生健康工作要点的通知各市卫生健康委，委机关...,广西壮族自治区卫生健康委员会,2020年-03月-31日,桂卫发〔2020〕1号,
人事管理,标题,内容概述,发布机构,发文时间,文号,索引号
人事管理,自治区卫生系列职称改革工作领导小组办公室关于2021年度全区卫生系列高级职称专业能力考试有关事项的通知,桂卫职办〔2020〕12号自治区卫生系列职称改革工作领导小组办公室关于2021年度全区卫生系列高级职称专业...,广西壮族自治区卫生健康委员会,2020年-05月-26日,桂卫职办〔2020〕12号,
人事管理,广西壮族自治区卫生健康委员会关于委领导工作分工的通知,桂卫发〔2020〕7号广西壮族自治区卫生健康委员会关于委领导工作分工的通知各市卫生健康委，委机关、中医...,广西壮族自治区卫生健康委员会,2020年-05月-21日,桂卫发〔2020〕7号,
